num_players,names,scores,date,longest_road,largest_army,to_win,extension,group
6,"['Domaxime', 'Bloody', 'Garcl’invicible', 'MEULS', 'JeanMichelDenis', 'LadureLooser']","['7', '10', '6', '7', '8', '9']",2021-03-26,1.0,,10,Base game,LPMC
3,"['LadureLooser', 'Maringe', 'JeanMichelDenis']","['10', '7', '5']",2021-03-26,0.0,1.0,10,Base game,LPMC
4,"['Garcl’invicible', 'LadureLooser', 'Maringe', 'JeanMichelDenis']","['8', '10', '9', '8']",2021-03-26,0.0,2.0,10,Base game,LPMC
6,"['MEULS', 'LadureLooser', 'JeanMichelDenis', 'Motte', 'Franklin', 'Maringe']","['5', '8', '10', '7', '6', '5']",2021-03-28,2.0,4.0,10,Base game,LPMC
4,"['Garcl’invicible', 'LadureLooser', 'JeanMichelDenis', 'MEULS']","['10', '8', '5', '9']",2021-03-31,0.0,3.0,10,Base game,LPMC
3,"['Garcl’invicible', 'JeanMichelDenis', 'MEULS']","['10', '7', '6']",2021-03-31,0.0,0.0,10,Base game,LPMC
3,"['LadureLooser', 'JeanMichelDenis', 'MEULS']","['10', '8', '5']",2021-04-01,1.0,0.0,10,Base game,LPMC
3,"['LadureLooser', 'JeanMichelDenis', 'MEULS']","['6', '8', '10']",2021-04-01,2.0,2.0,10,Base game,LPMC
4,"['MEULS', 'LadureLooser', 'Maringe', 'JeanMichelDenis']","['6', '5', '10', '7']",2021-03-12,3.0,2.0,10,Base game,LPMC
6,"['MEULS', 'LadureLooser', 'Maringe', 'JeanMichelDenis', 'GODS', 'Garcl’invicible']","['8', '6', '4', '5', '7', '10']",2021-03-12,5.0,5.0,10,Base game,LPMC
4,"['MEULS', 'LadureLooser', 'Maringe', 'JeanMichelDenis']","['9', '9', '7', '10']",2021-03-13,1.0,0.0,10,Base game,LPMC
4,"['MEULS', 'LadureLooser', 'Maringe', 'JeanMichelDenis']","['8', '9', '10', '8']",2021-03-17,,,10,Base game,LPMC
4,"['LadureLooser', 'JeanMichelDenis', 'Maringe', 'GODS']","['8', '6', '4', '10']",2021-03-19,,,10,Base game,LPMC
4,"['LadureLooser', 'JeanMichelDenis', 'Maringe', 'Garcl’invicible']","['9', '10', '8', '9']",2021-03-19,3.0,1.0,10,Base game,LPMC
3,"['Garcl’invicible', 'JeanMichelDenis', 'Maringe']","['10', '9', '8']",2021-04-02,1.0,2.0,10,Base game,LPMC
3,"['MEULS', 'LadureLooser', 'Maringe']","['6', '10', '8']",2021-04-02,1.0,2.0,10,Base game,LPMC
3,"['LadureLooser', 'MEULS', 'JeanMichelDenis']","['8', '4', '10']",2021-04-09,0.0,2.0,10,Base game,LPMC
4,"['Clemsiy', 'LadureLooser', 'GODS', 'JeanMichelDenis']","['8', '6', '7', '10']",2021-04-09,2.0,,10,Base game,LPMC
6,"['Clemsiy', 'LadureLooser', 'Garcl’invicible', 'Linouze', 'GODS', 'JeanMichelDenis']","['4', '9', '6', '8', '10', '6']",2021-04-09,4.0,4.0,10,Base game,LPMC
5,"['Garcl’invicible', 'Linouze', 'GODS', 'Clemsiy', 'JeanMichelDenis']","['3', '6', '7', '6', '10']",2021-04-09,,4.0,10,Base game,LPMC
5,"['GODS', 'LadureLooser', 'MEULS', 'Maringe', 'JeanMichelDenis']","[5, 5, 5, 5, 11]",2021-04-13,4.0,4.0,10,Base game,LPMC
4,"['LadureLooser', 'Maringe', 'Franklin', 'MEULS']","[10, 6, 5, 6]",2021-04-20,0,None,10,Base game,LPMC
4,"['LadureLooser', 'Maringe', 'Franklin', 'JeanMichelDenis']","[10, 6, 6, 7]",2021-04-21,0,None,10,Base game,LPMC
4,"['LadureLooser', 'Maringe', 'Franklin', 'JeanMichelDenis']","[9, 7, 9, 10]",2021-04-21,1,3,10,Base game,LPMC
5,"['MEULS', 'Maringe', 'LadureLooser', 'Bods', 'JeanMichelDenis']","[10, 3, 9, 9, 6]",2021-04-22,3,None,10,Base game,LPMC
4,"['Maringe', 'LadureLooser', 'Bods', 'JeanMichelDenis']","[11, 9, 9, 9]",2021-04-22,3,0,10,Base game,LPMC
3,"['Maringe', 'MEULS', 'JeanMichelDenis']","[10, 5, 9]",2021-04-28,2,None,10,Base game,QLFM
4,"['MEULS', 'Maringe', 'LadureLooser', 'JeanMichelDenis']","[10, 6, 7, 8]",2021-04-29,0,None,10,Base game,LPMC
3,"['MEULS', 'Maringe', 'JeanMichelDenis']","[10, 6, 7]",2021-04-29,2,None,10,Base game,QLFM
4,"['MEULS', 'Maringe', 'LadureLooser', 'JeanMichelDenis']","[9, 9, 7, 10]",2021-04-30,3,None,10,Base game,LPMC
