num_players,names,scores,date,longest_road,largest_army,to_win,extension,group
4,"['Lousgarcia', 'Louisgodin', 'Jeremynadal', 'Marinevialemaringe']","['1', '1', '10', '2']",2021-02-24,2,3,10,Base game,LPCM
4,"['Melinelarrieu', 'Jeremynadal', 'Marinevialemaringe', 'Marineduret']","['1', '2', '6', '10']",2021-03-05,2,3,10,Base game,LPCM
4,"['Marinevialemaringe', 'Marineduret', 'Jeremynadal', 'Lousgarcia']","['4', '10', '5', '8']",2021-03-11,3,1,10,Base game,LPCM
3,"['Lousgarcia', 'Jeremynadal', 'Marineduret']","['6', '6', '10']",2021-03-02,1,2,10,Base game,LPCM
4,"['Melinelarrieu', 'Lousgarcia', 'Marineduret', 'Louisgodin']","['7', '10', '3', '8']",2021-03-04,1,0,10,Base game,LPCM
3,"['Lousgarcia', 'Melinelarrieu', 'Marinevialemaringe']","['10', '7', '7']",2021-03-01,2,1,10,Base game,LPCM
3,"['Marinevialemaringe', 'Marineduret', 'Louisgodin']","['7', '10', '2']",2021-03-16,1,0,10,Base game,LPCM
5,"['Marinevialemaringe', 'Lousgarcia', 'Marineduret', 'Jeremynadal', 'Melinelarrieu']","['10', '5', '8', '4', '6']",2021-03-11,0,2,10,Base game,LPCM
4,"['Marineduret', 'Louisgodin', 'Lousgarcia', 'Jeremynadal']","['4', '4', '10', '6']",2021-03-01,3,2,10,Base game,LPCM
5,"['Lousgarcia', 'Jeremynadal', 'Louisgodin', 'Melinelarrieu', 'Marinevialemaringe']","['7', '8', '10', '8', '5']",2021-03-20,2,3,10,Base game,LPCM
4,"['Jeremynadal', 'Louisgodin', 'Lousgarcia', 'Marineduret']","['6', '10', '8', '9']",2021-03-14,2,3,10,Base game,LPCM
5,"['Lousgarcia', 'Marinevialemaringe', 'Louisgodin', 'Marineduret', 'Jeremynadal']","['5', '10', '5', '4', '8']",2021-03-13,1,3,10,Base game,LPCM
5,"['Marinevialemaringe', 'Louisgodin', 'Marineduret', 'Melinelarrieu', 'Lousgarcia']","['5', '8', '5', '6', '10']",2021-03-02,4,4,10,Base game,LPCM
3,"['Marineduret', 'Lousgarcia', 'Melinelarrieu']","['10', '6', '4']",2021-03-05,1,2,10,Base game,LPCM
5,"['Louisgodin', 'Lousgarcia', 'Marinevialemaringe', 'Jeremynadal', 'Melinelarrieu']","['10', '7', '7', '2', '5']",2021-03-16,2,1,10,Base game,LPCM
3,"['Marineduret', 'Louisgodin', 'Marinevialemaringe']","['10', '4', '7']",2021-03-07,0,2,10,Base game,LPCM
5,"['Lousgarcia', 'Jeremynadal', 'Marinevialemaringe', 'Louisgodin', 'Marineduret']","['1', '2', '3', '10', '2']",2021-03-18,3,1,10,Base game,LPCM
5,"['Louisgodin', 'Marinevialemaringe', 'Jeremynadal', 'Lousgarcia', 'Melinelarrieu']","['8', '9', '5', '10', '8']",2021-03-16,0,4,10,Base game,LPCM
5,"['Louisgodin', 'Jeremynadal', 'Marinevialemaringe', 'Marineduret', 'Lousgarcia']","['9', '7', '7', '10', '5']",2021-03-11,2,2,10,Base game,LPCM
5,"['Louisgodin', 'Marineduret', 'Marinevialemaringe', 'Jeremynadal', 'Lousgarcia']","['5', '5', '9', '2', '10']",2021-03-01,4,2,10,Base game,LPCM
5,"['Louisgodin', 'Jeremynadal', 'Marinevialemaringe', 'Melinelarrieu', 'Lousgarcia']","['10', '9', '4', '7', '7']",2021-03-07,1,0,10,Base game,LPCM
3,"['Marinevialemaringe', 'Melinelarrieu', 'Louisgodin']","['8', '9', '10']",2021-03-06,1,0,10,Base game,LPCM
4,"['Jeremynadal', 'Marineduret', 'Marinevialemaringe', 'Lousgarcia']","['8', '10', '8', '8']",2021-02-25,3,3,10,Base game,LPCM
5,"['Melinelarrieu', 'Jeremynadal', 'Marineduret', 'Marinevialemaringe', 'Lousgarcia']","['10', '6', '4', '6', '8']",2021-02-25,1,4,10,Base game,LPCM
3,"['Jeremynadal', 'Lousgarcia', 'Louisgodin']","['5', '10', '8']",2021-03-10,1,2,10,Base game,LPCM
3,"['Lousgarcia', 'Marinevialemaringe', 'Jeremynadal']","['3', '10', '7']",2021-03-21,2,1,10,Base game,LPCM
5,"['Lousgarcia', 'Melinelarrieu', 'Marinevialemaringe', 'Marineduret', 'Louisgodin']","['4', '10', '5', '5', '8']",2021-03-06,4,1,10,Base game,LPCM
5,"['Marineduret', 'Lousgarcia', 'Marinevialemaringe', 'Louisgodin', 'Jeremynadal']","['5', '6', '7', '10', '7']",2021-03-07,1,2,10,Base game,LPCM
4,"['Louisgodin', 'Marinevialemaringe', 'Lousgarcia', 'Melinelarrieu']","['7', '9', '7', '10']",2021-03-07,1,2,10,Base game,LPCM
5,"['Louisgodin', 'Lousgarcia', 'Melinelarrieu', 'Marineduret', 'Marinevialemaringe']","['2', '4', '3', '10', '8']",2021-02-26,1,3,10,Base game,LPCM
4,"['Marinevialemaringe', 'Jeremynadal', 'Melinelarrieu', 'Louisgodin']","['10', '6', '5', '9']",2021-03-05,3,0,10,Base game,LPCM
3,"['Melinelarrieu', 'Lousgarcia', 'Jeremynadal']","['9', '8', '10']",2021-03-16,0,2,10,Base game,LPCM
3,"['Jeremynadal', 'Marinevialemaringe', 'Marineduret']","['10', '6', '9']",2021-03-04,0,1,10,Base game,LPCM
4,"['Jeremynadal', 'Marinevialemaringe', 'Marineduret', 'Louisgodin']","['6', '10', '7', '6']",2021-02-27,0,1,10,Base game,LPCM
3,"['Lousgarcia', 'Melinelarrieu', 'Marinevialemaringe']","['3', '6', '10']",2021-03-13,1,2,10,Base game,LPCM
3,"['Lousgarcia', 'Marinevialemaringe', 'Melinelarrieu']","['8', '10', '6']",2021-03-01,0,0,10,Base game,LPCM
3,"['Jeremynadal', 'Marineduret', 'Melinelarrieu']","['8', '10', '6']",2021-03-04,1,2,10,Base game,LPCM
3,"['Lousgarcia', 'Marinevialemaringe', 'Jeremynadal']","['7', '10', '8']",2021-03-05,0,1,10,Base game,LPCM
5,"['Lousgarcia', 'Marineduret', 'Jeremynadal', 'Marinevialemaringe', 'Louisgodin']","['8', '9', '8', '6', '10']",2021-02-25,2,0,10,Base game,LPCM
4,"['Marineduret', 'Lousgarcia', 'Jeremynadal', 'Marinevialemaringe']","['7', '8', '8', '10']",2021-03-16,0,0,10,Base game,LPCM
3,"['Marinevialemaringe', 'Louisgodin', 'Jeremynadal']","['6', '10', '7']",2021-03-14,2,2,10,Base game,LPCM
3,"['Louisgodin', 'Marinevialemaringe', 'Marineduret']","['9', '6', '10']",2021-03-10,0,2,10,Base game,LPCM
4,"['Marinevialemaringe', 'Lousgarcia', 'Melinelarrieu', 'Louisgodin']","['6', '10', '6', '6']",2021-03-04,1,2,10,Base game,LPCM
3,"['Lousgarcia', 'Jeremynadal', 'Louisgodin']","['10', '3', '8']",2021-03-09,2,0,10,Base game,LPCM
5,"['Marinevialemaringe', 'Lousgarcia', 'Melinelarrieu', 'Marineduret', 'Louisgodin']","['10', '4', '6', '3', '9']",2021-03-05,4,0,10,Base game,LPCM
5,"['Lousgarcia', 'Louisgodin', 'Marineduret', 'Melinelarrieu', 'Marinevialemaringe']","['6', '7', '8', '9', '10']",2021-03-21,2,3,10,Base game,LPCM
5,"['Lousgarcia', 'Louisgodin', 'Marinevialemaringe', 'Marineduret', 'Jeremynadal']","['7', '10', '5', '7', '6']",2021-02-26,4,1,10,Base game,LPCM
